Governor ID,Governor Name,Power,Kill Points,Deaths,T1,T2,T3,T4,T5,Kills,Kills (T4+),Ranged Points,RSS Gathered,RSS Assistance,Helps,Alliance
40958747,AHMED1977,81649130,290309073,13316765,32612038,542243,309745,13516056,7315132,54295214,20831188,0,27930908769,139200000,111545,[~TB]~True Blood~
40914960,LifeisBeautiful,81364278,415657210,4188669,63237713,3113898,3011793,10728864,13872303,93964571,24601167,0,12634561445,3085107629,44521,[~TB]~True Blood~
41137595,Speedy1986,80631616,76077106,720985,476470,1899449,524861,4718231,1145058,8764069,5863289,0,256543936,238894915,2324,-
26321575,Lemi B Salty,80353326,357071516,12557116,1146970,542143,2641184,14291738,10113786,28735821,24405524,0,15132976433,6896492206,62188,[~TB]~True Blood~
20927198,Axios Elysium,79986062,453758476,14339637,46424131,205575,111685,29469378,7446099,83656868,36915477,0,13554508345,2630326101,104314,[~TB]~True Blood~
40939667,RaptorBite,79658403,654167546,20095377,1045300,254583,722115,33841670,15607208,51470876,49448878,0,18686846244,864651006,82667,[~TB]~True Blood~
23686212,King Koneru,76345855,1559011128,14152288,11683592,1114919,1375143,56953334,48970533,120097521,105923867,0,17861892083,8431075423,115283,[~TB]~True Blood~
23886718,Rosèmàry705,74765474,299992281,10991285,692576,554913,1549065,13978840,7637964,24413358,21616804,0,11290699780,5437166231,19878,[~TB]~True Blood~
46815562,Rendant Jr,74566290,139878886,4522738,638562,11304,21104,3286787,5338814,9296571,8625601,0,21538493818,10144400000,17596,[~TB]~True Blood~
1665246,Jadis of Narnia,72890573,66656369,10348296,14665,46173,116320,2378595,2115493,4671246,4494088,0,9518356807,3950867873,25604,[~TB]~True Blood~
64153878,Dìldo Swaggins,72579231,109750753,3124096,1430545,2227994,1719799,5402646,2205150,12986134,7607796,0,7631708588,4511233289,18640,[~TB]~True Blood~
15540748,alomᴮᴰ,72378177,651365015,13351662,64361268,555854,171796,26641903,18513742,110244563,45155645,0,15517575610,7527649717,87685,[~TB]~True Blood~
