Governor ID,Governor Name, Power at start ,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan, Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4 2, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Pass 7, Difference Pass 7,Kill Score Pass 7, Difference Pass 7,Unit Lost Pass 7, Difference Pass 7, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland 7,Unit Lost Kingsland, Difference Kingsland 8, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
66527265,Errebi,"81,915,887","78,004,232","3,570,120","-11,968,130","15,857,767","844,347","71,382,749","-10,533,138","90,792,059","12,787,827","4,354,368","784,248",69947757,"-1,434,992",93861999,"3,069,940",4414467,"60,099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40914960,LifeisBeautiful,"81,364,278","415,657,210","4,188,669","1,113,760","11,866,680","46,601","76,160,538","-5,203,740","427,523,890","11,866,680","4,235,270","46,601",82478038,"6,317,500",427523890,0,4235270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20927198,Axios Elysium,"79,973,772","453,758,476","14,339,637","-9,352,346","13,639,253","527,932","71,537,990","-8,435,782","465,134,459","11,375,983","14,867,569","527,932",70621426,"-916,564",467397729,"2,263,270",14867569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40984308,PodzAdPinkAdam,"84,990,934","554,710,156","22,553,817","-2,966,650","10,666,096","468,845","79,518,644","-5,472,290","564,398,222","9,688,066","23,022,662","468,845",82024284,"2,505,640",565376252,"978,030",23022662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21304542,?????,"103,883,395","1,751,058,096","13,090,604","-2,879,090","5,605,115","416,039","101,613,475","-2,269,920","1,755,683,107","4,625,011","13,303,693","213,089",101004305,"-609,170",1756663211,"980,104",13506643,"202,950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27904876,ClodoMiro,"71,269,488","59,560,409","10,331,091","110,821","2,092,367","102,170","70,450,029","-819,459","60,788,346","1,227,937","10,433,261","102,170",71380309,"930,280",61652776,"864,430",10433261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64040422,Monsieur Rafiki,"49,887,059","76,009,184","3,805,688","167,080","851,030","30,713","49,954,463","67,404","76,860,214","851,030","3,836,401","30,713",50054139,"99,676",76860214,0,3836401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40989465,????,"86,429,400","174,918,914","12,280,941","1,171,500","1,256,520",0,"86,945,600","516,200","175,363,674","444,760","12,280,941",0,87600900,"655,300",176175434,"811,760",12280941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110925956,Enoch 4,"37,213,097","22,861,630","2,315,389","547,516","386,894","23,340","37,649,261","436,164","23,248,524","386,894","2,338,729","23,340",37760613,"111,352",23248524,0,2338729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15794649,xXxBluRRYxXx,"40,691,143","85,861,361","3,569,999","56,584","379,120",0,"40,747,727","56,584","86,240,481","379,120","3,569,999",0,40747727,0,86240481,0,3569999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119109140,Lemi B Daring,"50,739,829","88,689,959","4,544,024","1,256,869","741,920",0,"50,801,572","61,743","89,061,059","371,100","4,544,024",0,51996698,"1,195,126",89431879,"370,820",4544024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43915163,Steamed Bunn,"28,747,295","6,676,336","297,420",#N/A,#N/A,#N/A,"29,045,151","297,856","7,047,116","370,780","297,420",0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27410440,King Koneru 2,"38,048,898","79,243,065","4,093,794","979,320","325,820",0,"38,635,390","586,492","79,568,885","325,820","4,093,794",0,39028218,"392,828",79568885,0,4093794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83079418,SmokyDread2,"30,752,578","6,173,048","1,280,108","1,230,064","181,782",0,"31,691,332","938,754","6,354,830","181,782","1,280,108",0,31982642,"291,310",6354830,0,1280108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10464969,WhiteTigger 2,"29,253,592","116,302,858","4,555,917","540,608","162,600",0,"29,488,084","234,492","116,465,458","162,600","4,555,917",0,29794200,"306,116",116465458,0,4555917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67306994,DarrylDixon,"34,299,072","9,993,991","1,693,169","157,352","130,320",0,"33,060,954","-1,238,118","10,124,311","130,320","1,693,169",0,34456424,"1,395,470",10124311,0,1693169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44415443,???44415443,"65,335,260","35,771,370","6,421,400","2,462,400","397,200",0,"66,958,614","1,623,354","35,888,630","117,260","6,421,400",0,67797660,"839,046",36168570,"279,940",6421400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33745401,CärolDîxon,"42,815,956","62,869,536","2,990,106","241,838","71,550",0,"42,917,256","101,300","62,941,086","71,550","2,990,106",0,43057794,"140,538",62941086,0,2990106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40922165,Rendant,"111,054,707","505,364,214","6,750,310","1,305,250",0,0,"111,705,307","650,600","505,364,214",,"6,750,310",0,112359957,"654,650",505364214,0,6750310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22824323,GaMik,"106,365,848","1,025,833,854","7,119,792","23,235",0,0,"106,389,083","23,235","1,025,833,854",,"7,119,792",0,106389083,0,1025833854,0,7119792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40925618,Nitmare01,"96,724,897","191,281,539","4,547,465","-9,780,200",0,0,"97,219,397","494,500","191,281,539",,"4,547,465",0,86944697,"-10,274,700",191281539,0,4547465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40962537,AHMED HERZALLAH,"86,979,191","186,591,808","6,242,930","1,038,810","887,506","50,584","87,665,991","686,800","186,591,808",,"6,242,930",0,88018001,"352,010",187479314,"887,506",6293514,"50,584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40958747,AHMED1977,"81,649,130","290,309,073","13,316,765","1,739,590",0,0,"82,862,940","1,213,810","290,309,073",,"13,316,765",0,83388720,"525,780",290309073,0,13316765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40939667,RaptorBite,"79,658,403","654,167,546","20,095,377","519,916",0,0,"80,019,219","360,816","654,167,546",,"20,095,377",0,80178319,"159,100",654167546,0,20095377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23886718,Rosèmàry705,"74,765,474","299,992,281","10,991,285","947,000",0,0,"75,566,544","801,070","299,992,281",,"10,991,285",0,75712474,"145,930",299992281,0,10991285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46815562,Rendant Jr,"74,566,290","139,878,886","4,522,738","1,131,533",0,0,"75,149,060","582,770","139,878,886",,"4,522,738",0,75697823,"548,763",139878886,0,4522738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665246,Jadis of Narnia,"72,890,573","66,656,369","10,348,296","2,993,185",0,0,"74,415,448","1,524,875","66,656,369",,"10,348,296",0,75883758,"1,468,310",66656369,0,10348296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15540748,alom??,"72,378,177","651,365,015","13,351,662","2,845,700",0,0,"73,562,177","1,184,000","651,365,015",,"13,351,662",0,75223877,"1,661,700",651365015,0,13351662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41068925,Karib1,"66,099,799","59,247,432","10,935,275","2,515,353",0,0,"67,226,299","1,126,500","59,247,432",,"10,935,275",0,68615152,"1,388,853",59247432,0,10935275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40931180,Nigol78,"65,314,358","63,428,160","5,849,350",#N/A,#N/A,#N/A,"65,314,358",0,"63,428,160",,"5,849,350",0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43001521,2AHMED1977,"65,258,060","69,716,092","8,166,081","1,075,330",0,0,"66,040,790","782,730","69,716,092",,"8,166,081",0,66333390,"292,600",69716092,0,8166081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41019532,skdjfhrbf,"64,825,164","10,554,104","6,670,055","989,048",0,0,"65,271,174","446,010","10,554,104",,"6,670,055",0,65814212,"543,038",10554104,0,6670055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40832003,44 Farmer,"64,192,500","85,576,277","698,931","-16,700",0,0,"64,263,000","70,500","85,576,277",,"698,931",0,64175800,"-87,200",85576277,0,698931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21332733,Armageddon Army,"60,603,077","105,735,140","10,965,470","672,930",0,0,"60,846,477","243,400","105,735,140",,"10,965,470",0,61276007,"429,530",105735140,0,10965470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24836505,Càndy Shop,"60,409,137","250,770,993","8,858,665","298,196",0,0,"60,594,689","185,552","250,770,993",,"8,858,665",0,60707333,"112,644",250770993,0,8858665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
