Governor ID,Governor Name, Power at start,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan,Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4 2, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland,Unit Lost Kingsland, Difference Kingsland, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
21304542,ʀᴀᴍʙᴏ,103883395,1751058096,13090604,-4790730,10321797,605802,101613475,-2269920,1755683107,4625011,13303693,213089,101004305,-609170,1756663211,980104,13506643,202950,99092665,-1911640,1761379893,4716682,13696406,189763,0,0,0,0,0,0
64040422,Monsieur Rafiki,49887059,76009184,3805688,-1908612,7712385,559604,49954463,67404,76860214,851030,3836401,30713,50054139,99676,76860214,0,3836401,0,47978447,-2075692,83721569,6861355,4365292,528891,0,0,0,0,0,0
1665246,Jadis of Narnia,72890573,66656369,10348296,2519273,5113417,69724,74415448,1524875,66656369,,10348296,0,75883758,1468310,66656369,0,10348296,0,75409846,-473912,71769786,5113417,10418020,69724,0,0,0,0,0,0
40922165,Rendant,111054707,505364214,6750310,-2620850,4966304,340374,111705307,650600,505364214,,6750310,0,112359957,654650,505364214,0,6750310,0,108433857,-3926100,510330518,4966304,7090684,340374,0,0,0,0,0,0
110925956,Enoch 4,37213097,22861630,2315389,700882,4849586,99695,37649261,436164,23248524,386894,2338729,23340,37760613,111352,23248524,0,2338729,0,37913979,153366,27711216,4462692,2415084,76355,0,0,0,0,0,0
23697905,ᴛᴇᴅmondo,53255315,154909505,7280863,-104956,3489520,178655,53659315,404000,154909505,,7280863,0,53939315,280000,154909505,0,7280863,0,53150359,-788956,158399025,3489520,7459518,178655,0,0,0,0,0,0
40989465,探圖索洞,86429400,174918914,12280941,1323800,2402400,0,86945600,516200,175363674,444760,12280941,0,87600900,655300,176175434,811760,12280941,0,87753200,152300,177321314,1145880,12280941,0,0,0,0,0,0,0
41068925,Karib1,66099799,59247432,10935275,1374233,1783650,0,67226299,1126500,59247432,,10935275,0,68615152,1388853,59247432,0,10935275,0,67474032,-1141120,61031082,1783650,10935275,0,0,0,0,0,0,0
24836505,Càndy Shop,60409137,250770993,8858665,-680100,1580258,102015,60594689,185552,250770993,,8858665,0,60707333,112644,250770993,0,8858665,0,59729037,-978296,252351251,1580258,8960680,102015,0,0,0,0,0,0
10464969,WhiteTigger 2,29253592,116302858,4555917,530348,1558654,26565,29488084,234492,116465458,162600,4555917,0,29794200,306116,116465458,0,4555917,0,29783940,-10260,117861512,1396054,4582482,26565,0,0,0,0,0,0
15794649,xXxBluRRYxXx,40691143,85861361,3569999,298738,1523485,19103,40747727,56584,86240481,379120,3569999,0,40747727,0,86240481,0,3569999,0,40989881,242154,87384846,1144365,3589102,19103,0,0,0,0,0,0
119109140,Lemi B Daring,50739829,88689959,4544024,1426900,813520,111,50801572,61743,89061059,371100,4544024,0,51996698,1195126,89431879,370820,4544024,0,52166729,170031,89503479,71600,4544135,111,0,0,0,0,0,0
53509314,Sterling A,50818070,17745790,2951124,3294272,731020,0,52272308,1454238,17745790,,2951124,0,53374125,1101817,17824550,78760,2951124,0,54112342,738217,18476810,652260,2951124,0,0,0,0,0,0,0
44415443,執政官44415443,65335260,35771370,6421400,2794694,623520,0,66958614,1623354,35888630,117260,6421400,0,67797660,839046,36168570,279940,6421400,0,68129954,332294,36394890,226320,6421400,0,0,0,0,0,0,0
29270501,Jadis child,53607800,19556618,5841637,5699410,387690,0,57195100,3587300,19556618,,5841637,0,59298794,2103694,19920288,363670,5841637,0,59307210,8416,19944308,24020,5841637,0,0,0,0,0,0,0
27410440,King Koneru 2,38048898,79243065,4093794,1039520,325820,0,38635390,586492,79568885,325820,4093794,0,39028218,392828,79568885,0,4093794,0,39088418,60200,79568885,0,4093794,0,0,0,0,0,0,0
21872885,NitramX,39086315,4823460,2258390,883209,304850,0,39289271,202956,4823460,,2258390,0,39712064,422793,4823460,0,2258390,0,39969524,257460,5128310,304850,2258390,0,0,0,0,0,0,0
83079418,SmokyDread2,30752578,6173048,1280108,1322637,181782,0,31691332,938754,6354830,181782,1280108,0,31982642,291310,6354830,0,1280108,0,32075215,92573,6354830,0,1280108,0,0,0,0,0,0,0
67306994,DarrylDixon,34299072,9993991,1693169,462213,130320,0,33060954,-1238118,10124311,130320,1693169,0,34456424,1395470,10124311,0,1693169,0,34761285,304861,10124311,0,1693169,0,0,0,0,0,0,0
67535192,Dame tu boca,35623730,6200696,2545289,2178475,84060,0,36307574,683844,6200696,,2545289,0,37494687,1187113,6284756,84060,2545289,0,37802205,307518,6284756,0,2545289,0,0,0,0,0,0,0
37783566,WhiteTigger 1,30866799,112986369,5078886,663160,82360,72,31162071,295272,112986369,,5078886,0,31466335,304264,112986369,0,5078886,0,31529959,63624,113068729,82360,5078958,72,0,0,0,0,0,0
33745401,CärolDîxon,42815956,62869536,2990106,241838,71550,0,42917256,101300,62941086,71550,2990106,0,43057794,140538,62941086,0,2990106,0,43057794,0,62941086,0,2990106,0,0,0,0,0,0,0
40925618,Nitmare01,96724897,191281539,4547465,-9541350,0,0,97219397,494500,191281539,,4547465,0,86944697,-10274700,191281539,0,4547465,0,87183547,238850,191281539,0,4547465,0,0,0,0,0,0,0
40958747,AHMED1977,81649130,290309073,13316765,1819590,0,0,82862940,1213810,290309073,,13316765,0,83388720,525780,290309073,0,13316765,0,83468720,80000,290309073,0,13316765,0,0,0,0,0,0,0
40939667,RaptorBite,79658403,654167546,20095377,862662,0,0,80019219,360816,654167546,,20095377,0,80178319,159100,654167546,0,20095377,0,80521065,342746,654167546,0,20095377,0,0,0,0,0,0,0
23886718,Rosèmàry705,74765474,299992281,10991285,947000,0,0,75566544,801070,299992281,,10991285,0,75712474,145930,299992281,0,10991285,0,75712474,0,299992281,0,10991285,0,0,0,0,0,0,0
46815562,Rendant Jr,74566290,139878886,4522738,1371533,0,0,75149060,582770,139878886,,4522738,0,75697823,548763,139878886,0,4522738,0,75937823,240000,139878886,0,4522738,0,0,0,0,0,0,0
43001521,2AHMED1977,65258060,69716092,8166081,1075330,0,0,66040790,782730,69716092,,8166081,0,66333390,292600,69716092,0,8166081,0,66333390,0,69716092,0,8166081,0,0,0,0,0,0,0
41019532,skdjfhrbf,64825164,10554104,6670055,1151294,0,0,65271174,446010,10554104,,6670055,0,65814212,543038,10554104,0,6670055,0,65976458,162246,10554104,0,6670055,0,0,0,0,0,0,0
21332733,Armageddon Army,60603077,105735140,10965470,792930,0,0,60846477,243400,105735140,,10965470,0,61276007,429530,105735140,0,10965470,0,61396007,120000,105735140,0,10965470,0,0,0,0,0,0,0
