Governor ID,Governor Name,Power,Kill Points,Deaths,T1,T2,T3,T4,T5,Kills,Kills (T4+),Ranged Points,RSS Gathered,RSS Assistance,Helps,Alliance
24836505,Càndy Shop,60563501,250770993,8858665,551556,321033,511119,10570250,7113582,19067540,17683832,0,9971425346,18887699932,14985,[~TB]~True Blood~
29270501,Jadis child,57152084,19556618,5841637,20261,112866,382116,354709,712564,1582516,1067273,0,6421103232,1280411401,11862,[~TB]~True Blood~
23697905,???mondo,53635315,154909505,7280863,418447,713423,799590,5437951,4791055,12160466,10229006,0,13601981166,11031914436,3777,[~TB]~True Blood~
41151325,EatPickle,52690872,17190181,4314063,4506,39033,25381,145439,777765,992124,923204,0,25034060384,0,3866,[DF69]Special Duck Forces
53509314,Sterling A,52218868,17745790,2951124,5442,3277,512,446726,663442,1119399,1110168,0,4939815860,1378903283,9838,[~TB]~True Blood~
119109140,Lemi B Daring,51564031,88689959,4544024,684219,662019,623322,6046805,1213387,9229752,7260192,0,7529088054,7635114231,26874,[~TB]~True Blood~
64040422,Monsieur Rafiki,50034551,76182624,3805688,35170,1498,117046,1812641,2878900,4845255,4691541,0,19705466764,25401540944,13101,[~TB]~True Blood~
127530244,Cengiz?HanJR,49705155,122590847,2081659,1370948,425413,263183,3127320,4456995,9643859,7584315,257033,6397756640,861358393,6785,[~TB]~True Blood~
33448118,MaggieGreeneè,47199142,42774413,2349776,292258,298368,171544,2337743,902781,4002694,3240524,0,6154163291,2622688355,4648,[~1st]~First Blood~
41021385,Sharpi,46845519,2225080,1707701,51113,41195,5987,3808,103522,205625,107330,0,4157119973,0,502,[NWM']Nueva Orden
41080561,flyblack,44550820,7544171,1960486,114678,82510,16894,220820,254022,688924,474842,0,6534569402,20430577,10796,[~TB]~True Blood~
41017112,Der Die Das,44530868,24012099,7480884,520188,11071,52070,513428,927168,2023925,1440596,0,3791366841,0,6090,[~TB]~True Blood~
78595609,??? 2,43530928,4190098,1762170,37983,112663,55939,140866,116238,463689,257104,0,2639606511,884597273,6571,[~TB]~True Blood~
33745401,CärolDîxon,42917256,62941086,2990106,35462,54486,713168,2967689,1514773,5285578,4482462,0,4944340200,932009421,5016,[99cd]Crimson Dragons
40960077,10061970,41605871,34130620,13793187,175594,45714,55711,840121,1269001,2386141,2109122,0,3627648202,1155462,2674,[DF69]Special Duck Forces
40934435,Link1666,41458463,49534354,7789633,4544913,2969169,770066,1553437,1203620,11041205,2757057,0,7812118651,9410826203,37361,[~TB]~True Blood~
149505790,Jubitora,41328376,96977314,2938793,2518633,1930045,765927,4980757,1987111,12182473,6967868,0,4668925536,383653552,15289,[MC74]Masters of Courage
160654829,ŒCB,40868541,99468838,2160540,2358562,688774,445342,5267637,2158092,10918407,7425729,0,6573176228,1859088009,16365,[~TB]~True Blood~
15794649,xXxBluRRYxXx,40747727,86240481,3569999,119548,304894,269851,2316678,3068030,6079001,5384708,0,5112331372,717002143,6628,[~TB]~True Blood~
37393423,General ALPHA,39718068,24527954,4646005,739000,728180,277786,1371961,404652,3521579,1776613,0,5158309590,161362844,15037,[~TB]~True Blood~
62705356,Rafiki Jr,39679197,29456949,3021937,67436,30715,19758,601934,1164183,1884026,1766117,0,16869367103,11825845575,10936,[~TB]~True Blood~
46005845,RickGrimeS,39424482,10429905,1516838,12345,5884,7287,690262,174195,889973,864457,0,4934041126,548962219,3147,[M599]TheFaeWild
21872885,NitramX,39219515,4823460,2258390,42374,10905,2919,312506,82822,451526,395328,0,4023870709,161468058,15056,[~TB]~True Blood~
